Date p1_mean p1_median p1_std
2022-01-28 -23.08 -23.08 0.07
2022-01-29 -23.09 -23.09 0.07
2022-01-30 -23.66 -23.67 0.06
2022-01-31 -23.7 -23.7 0.06
2022-02-01 -23.66 -23.66 0.06
2022-02-02 -23.69 -23.69 0.08
2022-02-03 -23.52 -23.52 0.19
2022-02-04 -23.3 -23.3 0.08
2022-02-05 -23.74 -23.74 0.06
2022-02-06 -23.51 -23.52 0.08
2022-02-07 -22.96 -22.95 0.08
2022-02-08 -23.6 -23.6 0.06
2022-02-09 -23.62 -23.62 0.06
2022-02-10 -23.46 -23.47 0.09
2022-02-11 -23.64 -23.64 0.11
2022-02-12 -35.8 -36.37 5.38
2022-02-13 -40.99 -41.32 9.41
2022-02-14 -23.66 -23.66 0.07
2022-02-15 -23.55 -23.55 0.07
2022-02-16 -23.55 -23.55 0.1
2022-02-17 -23.61 -23.63 0.23
2022-02-18 -23.36 -23.37 0.08
2022-02-19 -23.06 -23.07 0.09
2022-02-20 -23.14 -23.15 0.08
2022-02-21 -23.58 -23.58 0.06
2022-02-22 -15.58 -14.91 4.86
2022-02-23   
2022-02-24 -23.52 -23.52 0.06
2022-02-25 -23.56 -23.56 0.07
2022-02-26 -23.01 -23.01 0.08
2022-02-27 -23.53 -23.53 0.1
2022-02-28   
2022-03-31 -23.13 -23.14 0.22
2022-04-01 -23.6 -23.6 0.08
2022-04-02 -23.22 -23.22 0.07
2022-04-03 -23.24 -23.24 0.09
2022-04-04 -23.45 -23.45 0.09
2022-04-05 -23.57 -23.57 0.07
2022-04-06 -23.46 -23.45 0.08
2022-04-07 -23.53 -23.53 0.07
2022-04-08 -23.58 -23.58 0.06
2022-04-09 -23.01 -23.01 0.07
2022-04-10 -22.76 -22.76 0.07
2022-04-11 -22.8 -22.8 0.1
2022-04-12 -22.99 -22.99 0.13
2022-04-13 -22.93 -22.93 0.07
2022-04-14 -22.71 -22.71 0.09
2022-04-15 -22.85 -22.85 0.07
2022-04-16 -23.04 -23.04 0.09
2022-04-17 -23.19 -23.19 0.07
2022-04-18 -23.22 -23.22 0.07
2022-04-19 -22.95 -22.96 0.07
